성별,연령별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
all,100세 이상,1228,1301,1353,1518,1640,1764,1907,2078,2254,2340,2511,2618,2836,3142,3479,3867,3972,4111,4453,4795,5478,6578,6471,6685,7173,7991,9011,10196,11229,12060,13363,14702,16214,18162
Male_all,계,23991377,24120872,24210740,24243234,24369561,24491190,24671648,24774341,24881114,25069867,25187380,25285319,25445077,25585894,25670949,25736793,25863502,25913295,25945737,25961532,25967841,25971608,25973590,25974283,25973804,25971995,25968119,25959144,25943315,25920527,25890045,25851143,25802826,25744375
Male,0 - 4세,1573834,1488560,1409160,1315045,1227097,1192170,1191039,1174722,1172828,1193656,1200629,1188302,1179604,1175609,1148547,1102364,1041546,983559,913646,843025,793866,770347,763917,771935,793966,822689,850775,875313,893586,904815,908595,904841,895509,882816
Male,5 - 9세,1858210,1808293,1752569,1698879,1641923,1556291,1468935,1393600,1300568,1214418,1180798,1179593,1163582,1161732,1183575,1188607,1177422,1168596,1166742,1139761,1094257,1034139,976939,907764,837862,789250,765996,759592,767486,789269,817667,845425,869723,887809
Male,10 - 14세,1714089,1767832,1813909,1844524,1853437,1826108,1779836,1729504,1682748,1630159,1550478,1464013,1389826,1294946,1209141,1173575,1172820,1157292,1156254,1177163,1184896,1173176,1164315,1162421,1135423,1090022,1030140,973195,904270,834631,786236,763091,756712,764562
Male,15 - 19세,1765454,1680219,1630004,1621106,1637309,1683355,1740377,1788329,1821378,1842937,1821485,1779769,1728466,1684718,1632747,1554471,1469053,1391741,1295123,1208485,1173769,1172049,1155835,1154168,1174485,1181681,1169555,1160341,1158161,1131129,1085835,1026174,969508,900913
Male,20 - 24세,2066245,2087878,2056353,1969021,1874314,1772836,1695754,1658347,1654707,1678222,1734689,1794501,1844096,1877884,1903218,1882066,1856658,1803239,1752129,1688988,1599102,1499977,1415336,1312816,1221399,1182297,1176580,1157008,1152223,1170067,1175862,1163279,1153879,1151483
Male,25 - 29세,2098801,2036930,1992129,1981697,2024586,2073207,2096715,2071602,1989754,1909497,1808875,1734720,1714497,1730403,1739228,1791765,1868308,1918741,1951603,1976260,1949093,1901127,1839752,1781587,1712141,1617063,1513799,1425487,1319520,1225096,1183677,1176304,1155863,1151153
Male,30 - 34세,2255001,2285705,2279293,2240142,2180616,2109088,2045263,1992214,2000527,2049481,2094985,2111042,2096735,2015092,1922760,1825165,1766587,1743509,1758425,1771640,1826921,1893074,1941008,1971612,1994244,1965281,1915648,1852714,1793221,1722693,1626616,1522541,1433800,1327677
Male,35 - 39세,2153573,2142489,2166489,2184835,2228330,2273836,2309682,2289453,2252710,2181088,2101052,2028863,1982864,2004556,2044466,2089929,2116733,2098941,2017000,1933438,1840625,1772841,1749294,1763739,1776575,1831443,1897247,1944877,1975243,1997687,1968687,1919069,1856253,1796916
